Sè trang bŞ	Tªn trang bŞ	Sè hiÖu thuéc tİnh 1: 	§¼ng cÊp thuéc tİnh 1: 	Sè hiÖu thuéc tİnh 2: 	§¼ng cÊp thuéc tİnh 2: 	Sè hiÖu thuéc tİnh 3: 	§¼ng cÊp thuéc tİnh 3: 	Sè hiÖu thuéc tİnh 4: 	§¼ng cÊp thuéc tİnh 4: 	Sè hiÖu thuéc tİnh 5: 	§¼ng cÊp thuéc tİnh 5: 	M· sè 6 thuéc tİnh 	§»ng cÊp 6 thuéc tİnh	M· sè 7 thuéc tİnh 	§»ng cÊp 7 thuéc tİnh	M· sè 8 thuéc tİnh 	§»ng cÊp 8 thuéc tİnh	Mµu s¾c trang bŞ
51	VËt trang trİ v« danh																	<color=Blue2>
52	VËt trang trİ v« danh																	<color=Blue2>
53	V« Danh §ao																	<color=Blue2>
54	V« Danh C«n																	<color=Blue2>
55	V« Danh Tr­îng																	<color=Blue2>
56	V« Danh Hé Thñ																	<color=Blue2>
57	V« Danh Hé Thñ																	<color=Blue2>
58	V« Danh Phi §ao																	<color=Blue2>
59	V« Danh KiÕm																	<color=Blue2>
60	V« Danh CÇm																	<color=Blue2>
61	V« Danh Bót																	<color=Blue2>
62	V« Danh Th­¬ng																	<color=Blue2>
63	V« Danh Cung																	<color=Blue2>
64	V« Danh Song §ao																	<color=Blue2>
65	V« Danh Tr¶o																	<color=Blue2>
66	V« Danh trang																	<color=Blue2>
67	V« Danh trang																	<color=Blue2>
68	V« Danh trang																	<color=Blue2>
69	V« Danh trang																	<color=Blue2>
70	V« Danh Ph¸t §¸i																	<color=Blue2>
71	V« Danh Ph¸t §¸i																	<color=Blue2>
72	V« Danh Ph¸t §¸i																	<color=Blue2>
73	V« Danh Ph¸t §¸i																	<color=Blue2>
74	V« Danh Y																	<color=Blue2>
75	V« Danh Y																	<color=Blue2>
76	V« Danh Y																	<color=Blue2>
77	V« Danh Y																	<color=Blue2>
101	Ngò Hµnh Giíi	661	1															<color=Purple>
102	Thiªn M«n Ngò Hµnh Giíi	661	2															<color=Purple>
103	B¸ch LuyÖn Ngò Hµnh Giíi	661	3															<color=Gold>
104	Thiªn M«n Thñy Háa Trang	495	1	329	2													<color=Purple>
105	Thiªn M«n NhËt NguyÖt Trang	495	1	329	3													<color=Purple>
106	Thiªn M«n ¢m D­¬ng Trang	495	1	329	4													<color=Gold>
107	Thiªn M«n																	<color=Purple>
108	Thiªn M«n																	<color=Purple>
109	Tinh Kh¾c																	<color=Purple>
110	Tinh Kh¾c																	<color=Purple>
111	Thiªn NghÜa																	<color=Gold>
112	Thiªn NghÜa																	<color=Gold>
113	Thiªn M«n																	<color=Purple>
114	Tinh Kh¾c																	<color=Purple>
115	Thiªn NghÜa																	<color=Gold>
117	Thiªn M«n																	<color=Purple>
118	Thiªn M«n																	<color=Purple>
119	Tinh Kh¾c																	<color=Purple>
120	Tinh Kh¾c																	<color=Purple>
121	Tinh Kh¾c																	<color=Purple>
122	Thiªn NghÜa																	<color=Gold>
123	Thiªn NghÜa																	<color=Gold>
124	Thiªn NghÜa																	<color=Gold>
125	Thiªn M«n																	<color=Purple>
126	Thiªn M«n																	<color=Purple>
