ItemIndex	BodyType	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Charm
1	1	Thi™n ¢m Trang	0;108;562	7	1;1;1	10			
1	2		0;108;563	7	1;1;1	10			
1	3		0;108;564	7	1;1;1	10			
1	4		0;108;565	7	1;1;1	10			
2	1		0;109;562	7	1;1;1	10			
2	2		0;109;563	7	1;1;1	10			
2	3		0;109;564	7	1;1;1	10			
2	4		0;109;565	7	1;1;1	10			
3	1		0;110;562	7	1;1;1	10			
3	2		0;110;563	7	1;1;1	10			
3	3		0;110;564	7	1;1;1	10			
3	4		0;110;565	7	1;1;1	10			
4	1	Thi”u D≠¨ng phÙc	0;108;566	7	1;1;1	10			
4	2		0;108;567	7	1;1;1	10			
4	3		0;108;568	7	1;1;1	10			
4	4		0;108;569	7	1;1;1	10			
5	1		0;109;566	7	1;1;1	10			
5	2		0;109;567	7	1;1;1	10			
5	3		0;109;568	7	1;1;1	10			
5	4		0;109;569	7	1;1;1	10			
6	1		0;110;566	7	1;1;1	10			
6	2		0;110;567	7	1;1;1	10			
6	3		0;110;568	7	1;1;1	10			
6	4		0;110;569	7	1;1;1	10			
7	1	V®n Sˆ Trang	0;108;570	7	1;1;1	10			
7	2		0;108;571	7	1;1;1	10			
7	3		0;108;572	7	1;1;1	10			
7	4		0;108;573	7	1;1;1	10			
8	1		0;109;570	7	1;1;1	10			
8	2		0;109;571	7	1;1;1	10			
8	3		0;109;572	7	1;1;1	10			
8	4		0;109;573	7	1;1;1	10			
9	1		0;110;570	7	1;1;1	10			
9	2		0;110;571	7	1;1;1	10			
9	3		0;110;572	7	1;1;1	10			
9	4		0;110;573	7	1;1;1	10			
10	1	T¯ Linh Trang (vµng)	0;108;30001	7	1;1;1	10			
10	2		0;108;30002	7	1;1;1	10			
10	3		0;108;30003	7	1;1;1	10			
10	4		0;108;30004	7	1;1;1	10			
11	1		0;109;30001	7	1;1;1	10			
11	2		0;109;30002	7	1;1;1	10			
11	3		0;109;30003	7	1;1;1	10			
11	4		0;109;30004	7	1;1;1	10			
12	1		0;110;30001	7	1;1;1	10			
12	2		0;110;30002	7	1;1;1	10			
12	3		0;110;30003	7	1;1;1	10			
12	4		0;110;30004	7	1;1;1	10			
13	1	T¯ Linh Trang (T›m)	0;108;30005	7	1;1;1	10			
13	2		0;108;30006	7	1;1;1	10			
13	3		0;108;30007	7	1;1;1	10			
13	4		0;108;30008	7	1;1;1	10			
14	1		0;109;30005	7	1;1;1	10			
14	2		0;109;30006	7	1;1;1	10			
14	3		0;109;30007	7	1;1;1	10			
14	4		0;109;30008	7	1;1;1	10			
15	1		0;110;30005	7	1;1;1	10			
15	2		0;110;30006	7	1;1;1	10			
15	3		0;110;30007	7	1;1;1	10			
15	4		0;110;30008	7	1;1;1	10			
16	1	T¯ Linh Trang (lam)	0;108;30009	7	1;1;1	10			
16	2		0;108;30010	7	1;1;1	10			
16	3		0;108;30011	7	1;1;1	10			
16	4		0;108;30012	7	1;1;1	10			
17	1		0;109;30009	7	1;1;1	10			
17	2		0;109;30010	7	1;1;1	10			
17	3		0;109;30011	7	1;1;1	10			
17	4		0;109;30012	7	1;1;1	10			
18	1		0;110;30009	7	1;1;1	10			
18	2		0;110;30010	7	1;1;1	10			
18	3		0;110;30011	7	1;1;1	10			
18	4		0;110;30012	7	1;1;1	10			
19	1	Bπch Kim Trang	0;108;30013	7	1;1;1	10			
19	2		0;108;30014	7	1;1;1	10			
19	3		0;108;30015	7	1;1;1	10			
19	4		0;108;30016	7	1;1;1	10			
20	1		0;109;30013	7	1;1;1	10			
20	2		0;109;30014	7	1;1;1	10			
20	3		0;109;30015	7	1;1;1	10			
20	4		0;109;30016	7	1;1;1	10			
21	1		0;110;30013	7	1;1;1	10			
21	2		0;110;30014	7	1;1;1	10			
21	3		0;110;30015	7	1;1;1	10			
21	4		0;110;30016	7	1;1;1	10			
22	1	Tinh Khæc Trang	0;108;30017	7	1;1;1	10			
22	2		0;108;30018	7	1;1;1	10			
22	3		0;108;30019	7	1;1;1	10			
22	4		0;108;30020	7	1;1;1	10			
23	1		0;109;30017	7	1;1;1	10			
23	2		0;109;30018	7	1;1;1	10			
23	3		0;109;30019	7	1;1;1	10			
23	4		0;109;30020	7	1;1;1	10			
24	1		0;110;30017	7	1;1;1	10			
24	2		0;110;30018	7	1;1;1	10			
24	3		0;110;30019	7	1;1;1	10			
24	4		0;110;30020	7	1;1;1	10			
25	1	Thi™n Ngh‹a Trang	0;108;30021	7	1;1;1	10			
25	2		0;108;30022	7	1;1;1	10			
25	3		0;108;30023	7	1;1;1	10			
25	4		0;108;30024	7	1;1;1	10			
26	1		0;109;30021	7	1;1;1	10			
26	2		0;109;30022	7	1;1;1	10			
26	3		0;109;30023	7	1;1;1	10			
26	4		0;109;30024	7	1;1;1	10			
27	1		0;110;30021	7	1;1;1	10			
27	2		0;110;30022	7	1;1;1	10			
27	3		0;110;30023	7	1;1;1	10			
27	4		0;110;30024	7	1;1;1	10			
28	1	Cˆu Ch©u Trang	0;108;30025	7	1;1;1	10			
28	2		0;108;30026	7	1;1;1	10			
28	3		0;108;30027	7	1;1;1	10			
28	4		0;108;30028	7	1;1;1	10			
29	1		0;109;30025	7	1;1;1	10			
29	2		0;109;30026	7	1;1;1	10			
29	3		0;109;30027	7	1;1;1	10			
29	4		0;109;30028	7	1;1;1	10			
30	1		0;110;30025	7	1;1;1	10			
30	2		0;110;30026	7	1;1;1	10			
30	3		0;110;30027	7	1;1;1	10			
30	4		0;110;30028	7	1;1;1	10			
31	1	Th t Tﬁch Trang	0;108;30029	7	1;1;1	10			
31	2		0;108;30030	7	1;1;1	10			
31	3		0;108;30031	7	1;1;1	10			
31	4		0;108;30032	7	1;1;1	10			
32	1		0;109;30029	7	1;1;1	10			
32	2		0;109;30030	7	1;1;1	10			
32	3		0;109;30031	7	1;1;1	10			
32	4		0;109;30032	7	1;1;1	10			
33	1		0;110;30029	7	1;1;1	10			
33	2		0;110;30030	7	1;1;1	10			
33	3		0;110;30031	7	1;1;1	10			
33	4		0;110;30032	7	1;1;1	10			
34	1	HÂng S©m trang	0;108;630	7	1;1;1	10			
34	2		0;108;631	7	1;1;1	10			
34	3		0;108;632	7	1;1;1	10			
34	4		0;108;633	7	1;1;1	10			
35	1		0;109;630	7	1;1;1	10			
35	2		0;109;631	7	1;1;1	10			
35	3		0;109;632	7	1;1;1	10			
35	4		0;109;633	7	1;1;1	10			
36	1		0;110;630	7	1;1;1	10			
36	2		0;110;631	7	1;1;1	10			
36	3		0;110;632	7	1;1;1	10			
36	4		0;110;633	7	1;1;1	10			
37	1	Chÿ TÛy Kim M™ trang 	0;108;618	7	1;1;1	10			
37	2		0;108;619	7	1;1;1	10			
37	3		0;108;620	7	1;1;1	10			
37	4		0;108;621	7	1;1;1	10			
38	1		0;109;618	7	1;1;1	10			
38	2		0;109;619	7	1;1;1	10			
