ID	Hour	Minute	Week	Duration	Disable	Name
ID¹ØÁªdaily_guide.txt	h 	 phót 	Thø mÊy kÝch ho¹t	Thêi gian duy tr× (s)	CÊm dïng	Chó thÝch danh hiÖu
34	12	30	1;2;3;4;5;6;7	3600	0	S¸t Thñ §­êng
37	19	55	6	600	0	Ba Phe DiÔn Vâ-Tranh §äat
38	11	0	1;2;3;4;5;6;7	900	0	T©y Vùc TruyÒn §¹o
38	17	0	1;2;3;4;5;6;7	900	0	T©y Vùc TruyÒn §¹o
38	21	0	1;2;3;4;5;6;7	900	0	T©y Vùc TruyÒn §¹o
39	16	0	1;2;3;4;5;6;7	1800	0	Thî S¨n TiÒn Th­ëng
39	22	0	1;2;3;4;5;6;7	1800	0	Thî S¨n TiÒn Th­ëng
45	21	15	1;2;3;4;5;6;7	900	0	BOSS ThÕ Lùc
47	19	0	1;2;3;4;5;6;7	3600	0	ThÊt L¹c Nhai ChiÕn
48	11	0	1;2;3;4;5;6;7	7200	0	Thiªn M«n trËn
48	14	0	1;2;3;4;5;6;7	7200	0	Thiªn M«n trËn
49	14	0	1;2;3;4;5;6;7	900	0	Nh¹n M«n Quan-ChiÕn tr­êng nhá
49	19	0	1;2;3;4;5;6;7	900	0	Nh¹n M«n Quan-ChiÕn tr­êng nhá
50	15	0	1;2;3;4;5;6;7	900	0	Nh¹n M«n Quan-ChiÕn tr­êng lín
50	20	0	1;2;3;4;5;6;7	900	0	Nh¹n M«n Quan-ChiÕn tr­êng lín
51	16	30	1;2;3;4;5;6;7	1800	0	ChiÕn tr­êng liªn ®Êu
51	21	30	1;2;3;4;5;6;7	1800	0	ChiÕn tr­êng liªn ®Êu
52	18	0	1;2;3;4;5;6;7	7200	0	1vs1
53	12	0	1;2;3;4;5;6;7	7200	0	¢n O¸n §µi
53	18	0	1;2;3;4;5;6;7	7200	0	¢n O¸n §µi
55	8	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	9	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	10	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	11	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	12	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	13	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	14	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	15	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	16	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	17	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	21	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	22	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	23	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	0	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	1	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	2	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	3	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	4	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	5	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
55	6	30	1;2;3;4;5;6;7	1800	0	Long Hæ §­êng
56	18	0	6;7	7200	0	YÕn TiÖc Bang Héi
