genre	detail	situation
1	1	2
1	2	2
1	3	2
1	4	2
1	5	2
1	6	2
1	7	2
1	8	2
1	9	2
1	10	2
1	11	2
1	12	2
1	13	2
1	14	2
1	15	2
1	16	2
1	17	2
1	18	2
1	19	2
1	20	2
1	21	2
1	22	2
1	23	2
1	24	2
1	25	2
1	26	2
1	27	2
1	28	2
1	29	2
1	30	2
1	31	2
1	32	2
1	33	2
1	34	2
1	35	2
1	36	2
1	37	2
2	1	2
2	2	2
2	3	2
2	4	2
2	5	2
2	6	2
2	7	2
2	8	2
2	9	2
2	10	2
3	1	2
3	2	2
3	3	2
3	4	2
3	5	2
3	6	2
3	7	2
3	8	2
4	1	2
4	2	2
4	3	2
4	4	2
4	5	2
4	6	2
4	7	2
4	8	2
4	9	2
4	10	2
4	11	2
4	12	2
4	13	2
4	14	2
4	15	2
4	16	2
4	17	2
4	18	2
4	19	2
5	1	2
6	1	2
6	2	2
7	1	2
7	2	2
8	1	2
8	2	2
9	1	2
9	2	2
10	1	2
10	2	2
11	1	2
11	2	2
12	1	2
12	2	2
13	1	2
13	2	2
14	1	2
14	2	2
15	1	2
15	2	2
16	1	2
16	2	2
17	1	2
17	2	2
18	1	2
18	2	2
19	1	2
19	2	2
21	1	2
21	2	2
21	3	2
21	4	2
21	5	2
21	6	2
21	7	2
21	8	2
21	9	2
21	10	2
22	1	2
22	2	2
22	3	2
22	4	2
22	5	2
22	6	2
22	7	2
22	8	2
22	9	2
22	10	2
22	11	2
22	12	2
22	13	2
22	14	2
22	15	2
22	16	2
23	1	1,2
23	2	1,2
23	3	1,2
23	4	1,2
23	5	1,2
23	6	1,2
23	7	1,2
23	8	1,2
23	9	1,2
23	10	1,2
23	11	1,2
23	12	1,2
23	13	1,2
23	14	1,2
23	15	2
23	16	2
23	17	2
23	18	2
23	19	2
23	20	2
24	1	1,2
24	2	1,2
24	3	1,2
24	4	1,2
24	5	1,2
24	6	1,2
24	7	1,2
24	8	1,2
24	9	1,2
24	10	1,2
24	11	1,2
24	12	1,2
24	13	1,2
24	14	1,2
24	15	2
24	16	2
24	17	2
24	18	2
24	19	2
24	20	2
25	1	1,2
25	2	1,2
25	3	1,2
25	4	1,2
25	5	1,2
25	6	1,2
25	7	1,2
25	8	1,2
25	9	1,2
25	10	1,2
25	11	1,2
25	12	1,2
25	13	1,2
25	14	1,2
25	15	1,2
25	16	1,2
25	17	1,2
25	18	1,2
25	19	1,2
25	20	1,2
25	21	1,2
25	22	1,2
26	1	1,2
26	2	1,2
26	3	1,2
26	4	1,2
26	5	1,2
26	6	1,2
26	7	1,2
26	8	1,2
26	9	1,2
26	10	1,2
26	11	1,2
26	12	1,2
26	13	1,2
26	14	1,2
26	15	1,2
26	16	1,2
26	17	1,2
26	18	1,2
26	19	1,2
26	20	1,2
26	21	1,2
26	22	1,2
27	1	1,2
27	2	1,2
27	3	1,2
27	4	1,2
27	5	1,2
27	6	1,2
27	7	1,2
27	8	1,2
27	9	1,2
27	10	1,2
27	11	1,2
27	12	1,2
27	13	1,2
27	14	1,2
27	15	1,2
27	16	1,2
27	17	1,2
27	18	1,2
27	19	1,2
27	20	1,2
27	21	1,2
27	22	1,2
28	1	1,2
28	2	1,2
28	3	1,2
28	4	1,2
28	5	1,2
28	6	1,2
28	7	1,2
28	8	1,2
28	9	1,2
28	10	1,2
28	11	1,2
28	12	1,2
28	13	1,2
28	14	1,2
28	15	1,2
28	16	1,2
28	17	1,2
28	18	1,2
28	19	1,2
28	20	1,2
28	21	1,2
28	22	1,2
30	1	2
30	2	2
30	3	2
30	4	2
30	5	2
30	6	2
30	7	2
30	8	2
30	9	2
30	10	2
30	11	2
30	12	2
30	13	2
30	14	2
30	15	2
30	16	2
30	17	2
30	18	2
30	19	2
30	20	2
30	21	2
30	22	2
30	23	2
30	24	2
30	25	2
30	26	2
50	1	2
50	2	2
50	3	2
50	4	2
50	5	2
50	6	2
50	7	2
50	8	2
50	9	2
50	10	2
51	1	2
51	2	2
51	3	2
51	4	2
51	5	2
51	6	2
51	7	2
51	8	2
51	9	2
51	10	2
51	11	2
51	12	2
52	1	2
52	2	2
52	3	2
52	4	2
52	5	2
52	6	2
52	7	2
52	8	2
52	9	2
52	10	2
53	1	2
53	2	2
53	3	2
60	1	2
60	2	2
60	3	2
60	4	2
60	5	2
60	6	2
60	7	2
60	8	2
60	11	2
60	12	2
60	13	2
60	14	2
60	15	2
60	16	2
60	21	2
60	22	2
60	23	2
60	24	2
60	25	2
60	999	2
60	1000	2
61	1	2
61	2	2
61	3	2
61	4	2
61	5	2
61	6	2
62	1	2
62	2	2
62	3	2
62	4	2
62	5	2
62	6	2
62	7	2
62	8	2
62	9	2
62	10	2
62	11	2
62	12	2
62	13	2
62	14	2
62	15	2
62	16	2
62	17	2
62	18	2
62	19	2
62	20	2
62	21	2
63	1	2
64	1	1,2
64	2	1,2
64	3	1,2
64	4	1,2
64	5	1,2
64	6	1,2
65	1	1,2
65	2	1,2
65	3	1,2
66	1	2
66	2	2
66	3	2
66	4	2
67	1	2
67	2	2
67	3	2
67	11	2
67	12	2
67	13	2
67	14	2
67	15	2
67	16	2
67	17	2
67	18	2
67	19	2
67	20	2
67	21	2
67	22	2
67	23	2
67	24	2
67	25	2
67	26	2
67	27	2
67	28	2
67	29	2
67	30	2
67	31	2
67	32	2
67	33	2
68	1	2
68	2	2
68	3	2
68	4	2
69	1	2
69	2	2
70	1	2
71	1	2
72	1	2
72	2	2
72	3	2
72	4	2
72	5	2
72	6	2
72	7	2
72	8	2
72	9	2
72	10	2
73	1	2
74	1	2
74	2	2
74	3	2
75	1	2
75	2	2
76	1	2
78	1	2
