L­u Thñy HiÖu	Tr¹ng th¸i (1 më 0 ®ãng)	Script ban ®Çu cña ho¹t ®éng	Server run function	Gamer login run of function	Ngµy b¾t ®Çu ho¹t ®éng (ho¹t ®éng bao gåm thêi gian nµy)	Ngµy kÕt thóc ho¹t ®éng (ho¹t ®éng kh«ng bao gåm thêi gian nµy)	L­u ý
1	1	\script\online_activites\2010_01\activites_01\init.lua	ServerStartUp	PlayerLogin	2010012900	2010022900	Ho¹t ®éng 1 tÕt 01/2010
2	1	\script\online_activites\2010_01\activites_02\init.lua	ServerStartUp	PlayerLogin	2010020500	2010030800	Ho¹t ®éng 2, tÕt 01/2010
3	1	\script\online_activites\2010_03\activites_01\init.lua	ServerStartUp	PlayerLogin	2010030500	2010040500	Ho¹t ®éng 1, 03/2010
4	1	\script\online_activites\2010_03\activites_02\init.lua	ServerStartUp	PlayerLogin	0	0	
5	1	\script\online_activites\2010_04\activities_01\init.lua	ServerStartUp	PlayerLogin	2010041600	2010051700	Ho¹t ®éng mét ,4/2010
6	1	\script\online_activites\2010_04\activities_02\init.lua	ServerStartUp	PlayerLogin	2010041600	0	Ho¹t ®éng hai, 04/2010 (kÐo dµi)
7	1	\script\online_activites\2010_06\activites_01\init.lua	ServerStartUp	PlayerLogin	2010052800	2010070500	Ho¹t ®éng 1 06/2010
8	1	\script\online_activites\2010_06\activites_02\init.lua	ServerStartUp	PlayerLogin	0	0	Ho¹t ®éng n©ng cÊp mËt tÞch th¸ng 6
9	1	\script\online_activites\reborn\task\init.lua	ServerStartUp	PlayerLogin	0	0	NhiÖm vô chuyÓn sinh
10	1	\script\online_activites\2010_07\activites_01\init.lua	ServerStartUp	PlayerLogin	2010070900	2010080824	Ho¹t ®éng th¸ng 7
11	1	\script\online_activites\2010_08\activites_01\init.lua	ServerStartUp	PlayerLogin	2010081300	2010091300	Ho¹t ®éng th¸ng 8
12	1	\script\online_activites\tiaozhansilingboss\init.lua	ServerStartUp	PlayerLogin	2010081300	2010091300	Ho¹t ®éng khiªu chiÕn tø linh
13	1	\script\online_activites\2010_09\activites_01\init.lua	ServerStartUp	PlayerLogin	2010091700	2010102500	Event Trung Thu th¸ng 9
14	0	\script\online_activites\2010_09\activites_02\init.lua	ServerStartUp	PlayerLogin	2010091700	2010102500	Ho¹t ®éng Héi §Ìn Tø Linh th¸ng 9
15	1	\script\online_activites\xinshouzhiyin\init.lua	ServerStartUp	PlayerLogin	0	0	Ho¹t ®éng h­íng dÉn t©n thñ
16	1	\script\online_activites\2010_11\activity_01\init.lua	ServerStartUp	PlayerLogin	2010102900	2010120524	Ho¹t ®éng danh hiÖu
17	1	\script\online_activites\2010_11\activity_02\init.lua	ServerStartUp	PlayerLogin	2010102900	2010120524	Ho¹t ®éng Hoa H­íng D­¬ng
18	1	\script\online_activites\2010_11\activity_03\init.lua	ServerStartUp	PlayerLogin	2010102900	2010120524	Ho¹t ®éng thu thËp
19	1	\script\online_activites\2010_12\activites_01\init.lua	ServerStartUp	PlayerLogin	2010121000	2011011000	Ho¹t ®éng gi¸ng sinh th¸ng 12
20	0	\script\online_activites\2010_12\activites_02\init.lua	ServerStartUp	PlayerLogin	2010121000	2011011000	Ho¹t ®éng ngo¹i trang gi¸ng sinh th¸ng 12
21	0	\script\online_activites\2010_12\activites_03\init.lua	ServerStartUp	PlayerLogin	2010121000	2011011000	Ho¹t ®éng s­ëi Êm ®ªm ®«ng
22	1	\script\online_activites\2010_12\activites_04\init.lua	ServerStartUp	PlayerLogin	0	0	Ho¹t ®éng c©y tø linh, thêi gian ®­îc ghi nhËn t¹i head
